S.No.,pH,EC_(dS/m),Organic_Carbon_(%),Phosphorus_P2O5_(Kg/ha),Potassium_K2O_(Kg/ha),Zinc_Zn_(ppm),Iron_Fe_(ppm),Copper_Cu_(ppm),Manganese_Mn_(ppm)
1198,8.8,1.48,0.17,44.0,480.0,0.4,3.88,0.58,5.18
1199,8.6,0.93,0.28,59.0,339.0,0.42,3.46,0.58,5.14
1200,8.7,0.57,0.21,33.0,381.0,0.36,3.64,0.56,5.18
1201,8.5,0.72,0.29,38.0,310.0,0.364,3.96,0.46,5.12
1202,8.6,0.57,0.18,38.0,282.0,0.36,2.46,0.48,4.76
1203,8.5,0.5,0.27,41.0,310.0,0.38,3.48,0.46,4.64
1204,8.6,0.5,0.21,46.0,254.0,0.34,3.76,0.52,4.48
1205,8.4,0.69,0.17,23.0,226.0,0.46,3.88,0.54,4.8
1206,8.6,0.57,0.14,38.0,325.0,0.32,3.98,0.5,5.26
1207,8.6,0.52,0.11,51.0,339.0,0.34,3.44,0.5,5.64
1208,8.5,0.51,0.16,23.0,296.0,0.32,3.64,0.42,5.44
1209,8.1,0.19,0.13,51.0,423.0,0.38,2.88,0.5,4.98
1210,8.0,0.18,0.18,44.0,339.0,0.34,3.64,0.54,4.76
1211,8.5,0.12,0.21,36.0,310.0,0.36,3.44,0.58,4.64
1212,8.7,0.1,0.16,31.0,395.0,0.38,3.96,0.56,4.76
1213,8.4,0.19,0.19,46.0,494.0,0.34,2.96,0.38,5.44
1214,8.3,0.2,0.27,33.0,325.0,0.4,2.46,0.42,5.64
1215,8.0,0.14,0.2,26.0,423.0,0.4,3.64,0.44,5.76
1216,8.6,0.11,0.14,36.0,480.0,0.36,3.88,0.46,5.36
1217,8.1,0.23,0.18,41.0,296.0,0.38,3.86,0.48,5.48
1218,8.3,0.15,0.21,49.0,381.0,0.34,3.96,0.44,5.346
1219,8.6,0.21,0.23,54.0,282.0,0.36,3.4,0.4,5.64
1220,8.7,0.16,0.16,36.0,240.0,0.34,3.46,0.52,5.96
1221,8.4,0.11,0.19,31.0,409.0,0.38,3.7,0.58,5.6
1222,8.8,0.18,0.21,26.0,423.0,0.36,3.76,0.56,5.64
1223,8.9,0.22,0.28,41.0,282.0,0.34,3.8,0.5,5.46
1224,8.8,0.17,0.21,28.0,452.0,0.38,3.84,0.6,5.4
1225,8.4,0.14,0.17,46.0,423.0,0.36,3.64,0.62,5.44
1226,8.5,0.17,0.23,33.0,466.0,0.38,3.64,0.64,5.46
1227,8.7,0.21,0.28,23.0,494.0,0.38,3.46,0.6,5.76
1228,8.3,0.19,0.17,44.0,339.0,0.28,3.98,0.4,4.76
1229,8.5,0.23,0.24,23.0,325.0,0.3,3.64,0.46,4.68
1230,8.1,0.14,0.21,36.0,282.0,0.34,3.76,0.52,4.76
1231,8.4,0.11,0.19,33.0,339.0,0.38,3.4,0.58,5.44
1232,8.6,0.26,0.22,56.0,254.0,0.34,3.88,0.54,5.64
1233,8.7,0.18,0.14,31.0,353.0,0.36,3.64,0.56,5.76
1234,8.2,0.18,0.15,44.0,339.0,0.26,3.98,0.5,4.76
1235,8.3,0.12,0.21,38.0,282.0,0.28,3.4,0.56,4.68
1236,8.2,0.14,0.23,31.0,325.0,0.36,3.46,0.54,4.98
1237,8.1,0.15,0.29,56.0,254.0,0.34,3.76,0.52,4.64
1238,8.3,0.11,0.18,41.0,353.0,0.38,3.76,0.58,4.76
1239,8.1,0.15,0.24,59.0,395.0,0.3,3.98,0.52,5.54
1240,8.2,0.13,0.19,33.0,296.0,0.36,3.44,0.54,5.68
1241,8.3,0.1,0.21,49.0,268.0,0.34,3.7,0.6,5.46
1242,8.4,0.1,0.13,26.0,310.0,0.38,3.88,0.64,5.64
1243,8.6,0.11,0.25,33.0,282.0,0.34,3.82,0.52,5.76
1244,8.1,0.13,0.21,20.0,381.0,0.36,3.76,0.54,5.44
1245,8.5,0.17,0.18,26.0,409.0,0.3,3.64,0.58,5.46
1246,8.6,0.15,0.13,18.0,381.0,0.32,3.44,0.56,5.76
1247,8.4,0.13,0.27,46.0,409.0,0.34,3.6,0.48,5.14
1248,8.1,0.19,0.24,36.0,367.0,0.38,3.7,0.46,5.18
1249,8.7,0.13,0.19,28.0,466.0,0.28,2.98,0.4,4.76
1250,8.6,0.16,0.27,41.0,367.0,0.34,2.76,0.46,4.64
1251,8.8,0.11,0.14,23.0,282.0,0.36,2.46,0.48,5.1
1252,8.2,0.13,0.11,26.0,381.0,0.34,2.76,0.42,4.76
1253,8.6,0.13,0.18,41.0,240.0,0.3,3.44,0.5,5.76
1254,8.4,0.13,0.26,44.0,325.0,0.28,3.76,0.56,5.64
1255,8.3,0.15,0.3,59.0,409.0,0.26,3.64,0.54,5.68
1256,8.4,0.14,0.26,61.0,466.0,0.24,3.88,0.5,5.76
1257,8.6,0.1,0.29,46.0,325.0,0.36,3.46,0.56,5.64
1258,8.1,0.1,0.16,51.0,480.0,0.38,3.9,0.58,5.4
1259,8.6,0.13,0.15,56.0,353.0,0.28,2.76,0.38,4.76
1260,8.4,0.23,0.21,41.0,423.0,0.26,3.46,0.4,4.68
1261,8.2,0.27,0.19,38.0,381.0,0.3,3.64,0.46,4.98
1262,8.9,0.18,0.28,36.0,480.0,0.34,3.6,0.38,4.6
1263,8.9,0.17,0.16,31.0,325.0,0.36,3.76,0.32,4.76
1264,8.4,0.29,0.27,38.0,339.0,0.32,3.98,0.36,4.6
1265,8.4,0.48,0.31,59.0,240.0,0.36,3.44,0.34,4.76
1266,8.5,0.15,0.23,41.0,494.0,0.3,3.76,0.36,4.7
1267,8.3,0.11,0.2,28.0,508.0,0.36,3.64,0.5,4.66
1268,8.4,0.19,0.17,23.0,310.0,0.3,3.6,0.52,4.76
1269,8.3,0.16,0.21,59.0,480.0,0.4,3.68,0.36,4.6
1270,8.5,0.24,0.28,61.0,452.0,0.36,3.76,0.46,5.1
1271,8.4,0.29,0.33,44.0,367.0,0.38,3.6,0.48,5.44
1272,8.3,0.79,0.13,38.0,240.0,0.26,2.98,0.4,4.76
1273,8.1,0.41,0.21,26.0,296.0,0.38,3.44,0.48,4.78
1274,8.2,0.7,0.16,23.0,367.0,0.36,4.1,0.52,5.64
1275,8.2,0.52,0.18,18.0,310.0,0.34,3.46,0.56,5.68
1276,8.4,0.3,0.12,36.0,212.0,0.3,3.76,0.5,5.98
1277,9.1,0.18,0.23,31.0,268.0,0.34,3.86,0.5,5.1
1278,8.4,0.15,0.14,33.0,226.0,0.36,3.46,0.6,5.14
1279,8.9,0.3,0.19,26.0,310.0,0.28,3.76,0.62,5.18
1280,8.2,0.16,0.15,41.0,339.0,0.28,3.64,0.6,5.18
1281,8.4,0.18,0.11,26.0,381.0,0.34,3.98,0.64,5.64
1282,8.6,0.24,0.18,38.0,226.0,0.32,3.46,0.48,5.86
1283,8.4,0.21,0.23,44.0,381.0,0.36,3.64,0.4,5.1
1284,8.1,8.1,0.11,0.22,31.0,24.0,0.38,3.46,5.48
1285,8.7,0.14,0.41,26.0,310.0,0.36,3.76,0.52,4.76
1286,8.0,0.26,0.23,28.0,296.0,0.34,3.88,0.58,4.88
1287,8.1,0.26,0.18,41.0,339.0,0.38,3.48,0.56,4.46
1288,8.6,0.18,0.25,33.0,282.0,0.34,4.76,0.64,4.64
1289,8.1,0.22,0.21,26.0,353.0,0.32,4.88,0.58,4.76
1290,8.2,0.27,0.19,44.0,268.0,0.36,4.1,0.6,4.64
1291,7.9,0.27,0.23,23.0,381.0,0.34,4.1,0.62,4.6
1292,7.9,0.35,0.27,51.0,409.0,0.38,4.0,0.58,4.76
1293,8.4,0.15,0.18,28.0,282.0,0.34,3.98,0.56,4.68
1294,8.1,0.24,0.17,28.0,325.0,0.26,3.46,0.4,4.98
1295,8.5,0.15,0.24,36.0,395.0,0.28,3.64,0.46,4.64
1296,8.6,0.13,0.19,41.0,452.0,0.38,3.86,0.44,4.88
1297,8.0,0.24,0.13,23.0,353.0,0.36,3.9,0.52,4.76
1298,8.3,0.26,0.21,36.0,282.0,0.34,3.98,0.5,4.16
1299,8.3,0.18,0.27,28.0,254.0,0.3,4.0,0.56,4.18
1300,8.4,0.18,0.16,44.0,466.0,0.34,3.46,0.58,4.76
1301,8.6,0.13,0.18,20.0,296.0,0.38,3.64,0.52,4.98
1302,8.5,0.11,0.14,38.0,381.0,0.36,3.76,0.56,4.64
1303,8.5,0.11,0.19,46.0,452.0,0.34,3.66,0.54,4.88
1304,8.6,0.14,0.21,59.0,381.0,0.38,3.44,0.58,4.68
1305,8.7,0.12,0.29,41.0,296.0,0.36,3.76,0.56,4.76
1306,8.6,0.17,0.41,36.0,409.0,0.34,3.64,0.54,4.68
1307,8.6,0.19,0.18,29.0,339.0,0.38,3.48,0.56,4.6
1308,8.7,0.24,0.13,51.0,466.0,0.3,3.4,0.54,5.1
1309,8.5,0.16,0.21,47.0,367.0,0.34,3.64,0.58,5.12
1310,7.8,0.16,0.13,33.0,423.0,0.34,3.76,0.4,4.64
1311,8.0,0.11,0.16,26.0,296.0,0.38,3.64,0.48,4.76
1312,8.1,0.14,0.18,38.0,310.0,0.38,3.8,0.52,4.64
1313,8.1,0.12,0.22,41.0,409.0,0.26,3.44,0.56,4.76
1314,8.2,0.13,0.31,23.0,437.0,0.28,3.64,0.58,4.68
1315,8.4,0.18,0.24,20.0,296.0,0.4,3.76,0.5,4.98
1316,8.7,0.14,0.19,26.0,240.0,0.28,2.98,0.48,4.98
1317,8.6,0.11,0.23,38.0,310.0,0.36,3.44,0.46,4.68
1318,8.0,0.17,0.29,31.0,367.0,0.34,2.64,0.52,4.76
1319,8.1,0.21,0.15,26.0,325.0,0.38,3.46,0.546,5.1
1320,8.4,0.13,0.18,28.0,296.0,0.4,3.64,0.54,5.64
1321,8.9,0.22,0.27,44.0,325.0,0.36,4.0,0.56,5.84
1322,8.5,0.18,0.19,36.0,240.0,0.34,0.398,0.6,5.8
1323,8.3,0.14,0.22,44.0,381.0,0.38,3.4,0.66,5.84
1324,8.1,0.19,0.14,56.0,409.0,0.4,3.64,0.46,5.14
1325,8.5,0.21,0.18,28.0,282.0,0.36,3.88,0.4,5.18
1326,8.4,0.24,0.23,23.0,353.0,0.34,3.6,0.56,5.16
1327,8.6,0.15,0.27,18.0,437.0,0.34,3.64,0.52,5.76
1328,8.6,0.14,0.14,28.0,310.0,0.38,3.76,0.56,5.76
1329,8.3,0.11,0.19,36.0,339.0,0.4,3.6,0.48,4.76
1330,8.2,0.19,0.13,49.0,423.0,0.4,3.44,0.46,4.18
1331,8.5,0.24,0.24,67.0,466.0,0.38,3.64,0.52,4.14
1332,8.7,0.2,0.21,23.0,296.0,0.36,3.76,0.54,4.18
1333,8.1,0.16,0.18,31.0,254.0,0.34,3.6,0.56,4.76
1334,8.4,0.23,0.34,28.0,395.0,0.38,3.62,0.54,4.68
1335,8.7,0.1,0.23,41.0,423.0,0.36,3.64,0.58,4.64
1336,8.3,0.27,0.21,46.0,466.0,0.26,3.94,0.56,4.84
1337,8.5,0.21,0.18,20.0,494.0,0.28,3.76,0.56,4.86
1338,8.2,0.15,0.29,23.0,381.0,0.3,3.6,0.6,4.98
1339,7.9,0.13,0.38,44.0,339.0,0.32,3.68,0.62,5.64
1340,8.7,0.21,0.17,20.0,409.0,0.34,3.76,0.48,5.68
1341,8.6,0.24,0.11,26.0,367.0,0.38,3.6,0.4,5.44
1342,8.8,0.31,0.18,18.0,395.0,0.4,3.64,0.52,5.76
1343,8.3,0.2,0.21,23.0,310.0,0.34,3.76,0.58,5.64
1344,8.5,0.14,0.24,33.0,466.0,0.36,3.98,0.56,5.6
1345,8.6,0.11,0.18,31.0,325.0,0.34,3.66,0.48,5.64
1346,8.4,0.18,0.14,41.0,296.0,0.36,3.44,0.46,5.76
1347,8.1,0.24,0.11,20.0,353.0,0.3,3.1,0.48,5.64
1348,8.4,0.1,0.23,38.0,282.0,0.38,2.98,0.48,4.98
1349,8.5,0.13,0.19,44.0,381.0,0.36,3.4,0.46,4.76
1350,8.7,0.18,0.26,31.0,310.0,0.4,3.1,0.4,4.88
1351,8.9,0.2,0.31,23.0,395.0,0.32,3.18,0.48,5.1
1352,8.8,0.11,0.26,41.0,296.0,0.28,3.76,0.46,5.18
1353,8.5,0.1,0.18,28.0,282.0,0.26,3.64,0.52,5.76
1354,8.3,0.18,0.13,23.0,381.0,0.34,3.6,0.58,5.64
1355,8.6,0.23,0.25,67.0,409.0,0.34,3.7,0.5,5.88
1356,8.2,0.21,0.19,41.0,339.0,0.38,3.66,0.56,5.6
1357,8.7,0.16,0.23,23.0,296.0,0.36,3.76,0.6,4.98
1358,8.1,0.17,0.15,31.0,423.0,0.38,3.46,0.62,4.96
1359,8.6,0.21,0.13,18.0,409.0,0.4,3.48,0.58,5.76
1360,8.0,0.27,0.11,56.0,437.0,0.46,3.98,0.52,5.64
1361,9.1,0.15,0.18,38.0,268.0,0.38,3.46,0.58,5.88
1362,8.5,0.13,0.21,61.0,240.0,0.36,3.44,0.56,5.68
1363,8.7,0.21,0.27,41.0,423.0,0.46,3.64,0.54,5.6
1364,8.4,0.29,0.31,36.0,395.0,0.28,3.6,0.56,4.98
1365,8.3,0.18,0.26,33.0,480.0,0.36,3.76,0.58,4.64
1366,8.5,0.31,0.21,23.0,296.0,0.34,3.64,0.56,4.88
1367,8.7,0.27,0.18,31.0,409.0,0.38,3.88,0.52,4.8
1368,8.4,0.16,0.27,26.0,339.0,0.36,3.7,0.58,5.1
1369,8.6,0.13,0.17,20.0,240.0,0.34,3.88,0.56,5.18
1370,8.9,0.19,0.13,28.0,437.0,0.38,3.4,0.58,4.9
1371,8.4,0.21,0.21,41.0,480.0,0.4,3.44,0.56,4.64
1372,8.1,0.27,0.13,33.0,325.0,0.38,3.1,0.58,4.88
1373,8.5,0.15,0.18,51.0,296.0,0.36,3.18,0.56,4.64
1374,8.9,0.14,0.23,31.0,437.0,0.32,3.14,0.6,4.96
1375,8.8,0.18,0.21,26.0,381.0,0.34,3.18,0.58,4.98
1376,8.3,0.11,0.16,23.0,296.0,0.36,3.98,0.52,5.18
1377,8.4,0.17,0.28,18.0,240.0,0.34,3.9,0.58,5.12
1378,8.8,0.41,0.13,51.0,282.0,0.28,3.7,0.48,4.96
1379,8.3,0.27,0.18,36.0,353.0,0.32,3.66,0.46,5.1
1380,8.5,0.21,0.12,23.0,437.0,0.36,3.46,0.4,4.9
1381,8.2,0.31,0.21,67.0,359.0,0.4,3.88,0.52,5.18
1382,8.6,0.25,0.23,54.0,466.0,0.26,3.96,0.56,5.12
1383,8.3,0.21,0.18,49.0,240.0,0.28,3.94,0.54,5.38
1384,8.8,0.27,0.2,38.0,339.0,0.28,3.76,0.5,5.34
1385,9.0,0.24,0.14,36.0,423.0,0.4,3.6,0.6,5.36
1386,8.4,0.12,0.19,41.0,310.0,0.28,2.98,0.44,4.9
1387,8.6,0.09,0.23,28.0,353.0,0.36,3.1,0.46,4.76
1388,8.8,0.18,0.14,31.0,423.0,0.4,3.14,0.48,5.64
1389,8.4,0.13,0.19,49.0,310.0,0.38,3.18,0.52,5.68
1390,8.3,0.16,0.26,28.0,353.0,0.28,3.76,0.58,5.7
1391,8.4,0.15,0.21,23.0,409.0,0.24,3.46,0.56,5.72
1392,8.2,0.17,0.18,44.0,310.0,0.4,3.4,0.6,5.64
1393,8.6,0.15,0.31,56.0,353.0,0.38,3.14,0.65,5.68
1394,8.4,0.14,0.29,41.0,409.0,0.36,3.18,0.48,5.9
1395,8.6,0.21,0.21,31.0,310.0,0.38,3.1,0.52,5.66
1396,8.3,0.29,0.19,46.0,268.0,0.36,3.76,0.64,5.6
1397,8.1,0.18,0.12,33.0,296.0,0.3,3.44,0.56,5.76
1398,8.9,0.14,0.18,18.0,240.0,0.32,3.64,0.54,5.48
1399,8.6,0.21,0.11,59.0,353.0,0.343,3.6,0.52,5.4
1400,8.7,0.19,0.17,44.0,381.0,0.28,3.76,0.5,5.76
1401,8.3,0.27,0.18,33.0,310.0,0.28,2.98,0.42,4.98
1402,8.7,0.13,0.23,23.0,325.0,0.36,2.64,0.48,4.76
1403,8.4,0.24,0.15,41.0,437.0,0.34,3.2,0.46,4.64
1404,8.5,0.2,0.17,28.0,452.0,0.4,3.64,0.52,4.88
1405,8.9,0.14,0.23,49.0,480.0,0.38,3.88,0.56,4.8
1406,8.3,0.1,0.21,41.0,339.0,0.36,3.96,0.6,4.76
1407,8.8,0.18,0.19,31.0,310.0,0.28,3.76,0.62,4.64
1408,8.0,0.32,0.14,28.0,437.0,0.26,3.64,0.54,5.1
1409,8.1,0.27,0.24,38.0,494.0,0.34,3.88,0.58,5.14
1410,8.3,0.41,0.18,51.0,268.0,0.32,3.76,0.56,5.18
1411,8.5,0.18,0.13,36.0,480.0,0.36,3.88,0.54,5.16
1412,8.4,0.23,0.27,31.0,339.0,0.38,4.0,0.58,5.18
1413,8.9,0.14,0.21,28.0,437.0,0.4,3.96,0.48,5.1
1414,9.0,0.11,0.18,46.0,508.0,0.36,3.64,0.4,5.64
1415,8.4,0.29,0.13,59.0,466.0,0.26,3.96,0.46,5.6
1416,8.5,0.35,0.27,31.0,310.0,0.28,3.76,0.44,5.18
1417,8.3,0.17,0.21,26.0,480.0,0.26,3.88,0.6,5.14
1418,8.2,0.14,0.16,23.0,310.0,0.36,3.64,0.62,5.18
1419,8.4,0.26,0.19,38.0,296.0,0.38,3.46,0.48,5.64
1420,8.6,0.38,0.21,41.0,282.0,0.34,3.76,0.4,5.76
1421,8.8,0.25,0.15,61.0,452.0,0.4,3.64,0.44,5.1
1422,8.5,0.32,0.13,33.0,480.0,0.36,3.18,0.6,5.44
1423,8.6,0.6,0.18,33.0,254.0,0.28,2.42,0.48,4.76
1424,8.7,0.19,0.27,49.0,282.0,0.26,2.76,0.46,4.68
1425,8.5,0.11,0.21,51.0,325.0,0.38,3.38,0.6,5.1
1426,8.4,0.11,0.15,38.0,240.0,0.34,3.76,0.54,5.12
1427,8.5,0.1,0.13,36.0,480.0,0.4,3.44,0.5,5.14
1428,8.5,0.17,0.26,28.0,452.0,0.4,3.4,0.6,5.76
1429,8.5,0.09,0.21,41.0,409.0,0.36,4.0,0.62,5.18
1430,8.4,0.13,0.18,36.0,296.0,0.26,3.76,0.52,5.68
1431,8.3,0.21,0.14,18.0,452.0,0.28,3.64,0.58,5.88
1432,8.1,0.18,0.29,23.0,508.0,0.24,3.1,0.56,4.98
1433,8.0,0.14,0.21,54.0,296.0,0.26,3.4,0.6,4.64
1434,8.1,0.17,0.35,38.0,325.0,0.38,3.64,0.52,4.76
1435,8.2,0.21,0.27,31.0,437.0,0.34,3.22,0.5,4.12
1436,8.5,0.27,0.41,26.0,339.0,0.32,3.84,0.62,4.18
1437,8.6,0.21,0.16,18.0,452.0,0.3,3.62,0.6,4.44
1438,8.5,0.15,0.19,20.0,240.0,0.36,3.46,0.48,4.64
1439,8.3,0.11,0.31,46.0,494.0,0.28,3.44,0.46,4.88
1440,8.6,0.17,0.26,38.0,508.0,0.4,3.76,0.52,4.1
1441,8.7,0.31,0.29,41.0,254.0,0.4,3.1,0.5,4.18
1442,8.3,0.29,0.31,31.0,296.0,0.36,3.12,0.6,4.12
1443,8.5,0.38,0.28,56.0,325.0,0.34,3.18,0.62,4.64
1444,83.0,0.14,0.37,31.0,409.0,0.32,3.14,0.54,4.66
1445,8.6,0.15,0.21,28.0,466.0,0.3,3.9,0.56,4.18
1446,8.4,0.19,0.18,23.0,339.0,0.28,3.64,0.5,4.1
1447,8.7,0.21,0.14,20.0,423.0,0.26,3.42,0.48,4.2
1448,8.2,0.28,0.22,37.0,327.0,0.28,2.76,0.4,4.76
1449,8.3,0.23,0.16,42.0,361.0,0.3,2.88,0.46,4.64
1450,8.1,1.12,0.18,45.0,378.0,0.32,3.1,0.5,4.88
1451,8.6,0.44,0.16,28.0,281.0,0.36,3.64,0.48,4.76
1452,7.9,0.85,0.18,27.0,302.0,0.4,3.88,0.54,4.64
1453,8.9,0.96,0.22,38.0,317.0,0.26,3.46,0.52,4.46
1454,8.7,0.43,0.24,31.0,360.0,0.28,3.64,0.64,4.64
1455,8.9,0.27,0.22,29.0,321.0,0.24,3.88,0.62,4.88
1456,9.0,0.51,0.18,49.0,340.0,0.32,3.64,0.58,4.35
1457,8.7,0.31,0.18,38.0,308.0,0.36,3.88,0.4,4.38
1458,8.5,0.36,0.22,37.0,302.0,0.34,3.46,0.46,5.22
1459,8.4,0.71,0.26,28.0,369.0,0.3,3.64,0.52,5.26
1460,8.5,1.16,0.24,38.0,361.0,0.4,3.46,0.54,4.96
1461,8.9,0.74,0.22,24.0,287.0,0.38,3.64,0.6,4.88
1462,8.6,0.3,0.24,31.0,349.0,0.36,3.12,0.58,4.76
1463,8.3,0.52,0.26,42.0,360.0,0.24,3.46,0.54,4.64
1464,8.3,0.66,0.3,41.0,321.0,0.26,3.76,0.56,4.88
1465,8.2,3.18,0.18,39.0,294.0,0.32,3.66,0.48,4.98
1466,8.0,2.49,0.16,43.0,340.0,0.34,3.76,0.46,4.76
1467,8.9,0.87,0.2,38.0,317.0,0.36,3.18,0.44,4.64
1468,8.8,0.79,0.24,39.0,312.0,0.4,3.46,0.5,4.88
1469,8.7,0.57,0.22,37.0,327.0,0.32,3.64,0.56,4.44
1470,9.1,0.67,0.24,48.0,281.0,0.36,3.94,0.52,4.64
1471,8.4,0.85,0.22,42.0,361.0,0.34,3.66,0.54,4.62
1472,8.3,0.75,0.18,47.0,287.0,0.32,3.76,0.6,4.74
1473,8.9,0.66,0.16,37.0,349.0,0.28,3.1,0.62,4.88
1474,8.9,0.62,0.18,28.0,342.0,0.26,3.4,0.48,4.7
1475,8.7,0.3,0.16,41.0,313.0,0.24,3.64,0.46,4.82
1476,8.7,0.12,0.14,39.0,287.0,0.36,3.12,0.58,4.84
1477,9.2,0.12,0.12,41.0,311.0,0.4,3.64,0.52,4.88
1478,8.9,0.16,0.18,41.0,318.0,0.28,2.46,0.4,4.76
1479,8.6,0.53,0.14,49.0,329.0,0.32,2.96,0.38,4.64
1480,8.6,0.59,0.16,35.0,308.0,0.34,3.44,0.52,4.98
1481,8.7,0.51,0.18,31.0,360.0,0.26,3.46,0.48,4.9
1482,8.9,0.24,0.2,0.42,296.0,0.32,3.64,0.46,5.76
1483,8.3,0.17,0.24,34.0,339.0,0.4,3.42,0.6,5.64
1484,8.6,0.29,0.22,31.0,321.0,0.28,3.74,0.62,6.1
1485,8.7,0.15,0.18,41.0,329.0,0.28,3.46,0.46,4.98
1486,8.5,0.18,0.14,38.0,401.0,0.34,3.64,0.48,4.64
1487,8.7,0.14,0.16,31.0,360.0,0.36,3.88,0.44,4.86
1488,8.5,0.17,0.18,38.0,311.0,0.38,3.42,0.38,4.88
1489,8.5,0.17,0.16,28.0,312.0,0.4,3.4,0.36,4.34
1490,8.7,0.18,0.14,30.0,339.0,0.42,3.96,0.42,4.36
1491,8.4,0.2,0.2,36.0,327.0,0.46,3.64,0.44,4.76
1492,8.3,0.11,0.24,31.0,321.0,0.4,3.22,0.46,4.64
1493,8.6,0.27,0.22,28.0,307.0,0.36,3.46,0.52,4.88
1494,8.1,0.21,0.26,35.0,311.0,0.28,3.44,0.54,4.44
1495,8.6,0.17,0.24,31.0,329.0,0.34,3.48,0.48,4.8
1496,8.5,0.15,0.22,36.0,314.0,0.36,3.76,0.5,4.98
1497,8.7,0.28,0.18,30.0,347.0,0.34,3.62,0.54,5.1
1498,8.4,0.14,0.16,28.0,269.0,0.4,3.763,0.44,5.14
1499,8.9,0.13,0.16,38.0,347.0,0.28,2.98,0.46,4.64
1500,8.8,0.1,0.14,29.0,311.0,0.36,3.44,0.44,4.88
1501,8.9,0.1,0.16,49.0,269.0,0.38,3.64,0.38,4.78
1502,8.7,0.12,0.18,34.0,339.0,0.34,3.86,0.46,5.64
1503,8.3,0.14,0.16,35.0,349.0,0.38,3.92,0.4,5.44
1504,8.8,0.15,0.24,30.0,307.0,0.36,3.92,0.42,5.68
1505,8.5,0.18,0.22,28.0,329.0,0.34,3.64,0.52,5.98
1506,8.6,0.21,0.26,31.0,347.0,0.32,3.88,0.56,5.62
1507,8.6,0.16,0.24,36.0,329.0,0.34,3.48,0.5,5.42
1508,8.5,0.31,0.26,49.0,314.0,0.36,3.46,0.38,5.6
1509,8.3,0.14,0.22,35.0,307.0,0.28,3.22,0.46,5.44
1510,8.8,0.29,0.18,30.0,349.0,0.26,3.64,0.4,5.1
1511,9.0,0.21,0.2,31.0,339.0,0.24,3.88,0.3,5.12
1512,8.7,0.17,0.16,41.0,269.0,0.26,3.48,0.42,5.18
1513,8.5,0.25,0.14,39.0,2.87,0.34,3.42,0.44,5.44
1514,8.9,0.24,0.2,35.0,311.0,0.38,3.48,0.46,5.4
1515,9.1,0.11,0.16,38.0,243.0,0.32,3.76,0.42,5.1
1516,9.0,0.17,0.18,41.0,349.0,0.4,3.64,0.66,5.12
1517,8.7,0.23,0.2,49.0,329.0,0.36,3.94,0.6,5.62
1518,8.3,0.14,0.16,38.0,347.0,0.34,3.32,0.58,5.88
1519,8.7,0.14,0.18,41.0,329.0,0.36,2.96,0.48,4.76
1520,8.7,0.12,0.2,38.0,401.0,0.34,3.88,0.46,4.64
1521,8.8,0.11,0.18,39.0,308.0,0.4,3.64,0.44,4.88
1522,8.7,0.15,0.24,35.0,327.0,0.38,3.46,0.42,4.98
1523,8.3,0.12,0.26,42.0,311.0,0.32,3.76,0.48,4.62
1524,8.8,0.14,0.22,49.0,243.0,0.28,3.46,0.52,4.44
1525,8.8,0.17,0.24,31.0,269.0,0.32,3.88,0.38,4.76
1526,8.6,0.11,0.22,28.0,339.0,0.36,3.62,0.42,4.64
1527,8.8,0.11,0.14,49.0,401.0,0.28,3.46,0.48,4.98
1528,8.7,0.14,0.16,31.0,308.0,0.3,3.44,0.6,4.76
1529,8.3,0.27,0.18,49.0,360.0,0.38,3.76,0.62,5.1
1530,8.8,0.34,0.16,34.0,311.0,0.4,3.48,0.58,5.44
1531,8.9,0.37,0.22,24.0,243.0,0.26,3.98,0.56,5.64
1532,9.3,0.17,0.24,28.0,312.0,0.24,2.9,0.58,5.86
1533,8.8,0.12,0.24,35.0,327.0,0.4,2.96,0.54,5.76
1534,8.4,0.45,0.16,28.0,321.0,0.38,3.4,0.58,5.64
1535,8.9,0.18,0.2,31.0,320.0,0.32,3.46,0.56,5.6
1536,8.2,0.36,0.16,35.0,347.0,0.36,3.88,0.54,5.94
1537,8.7,0.17,0.14,28.0,311.0,0.34,3.64,0.5,5.96
1538,8.3,0.17,0.24,31.0,349.0,0.38,3.9,0.54,5.44
1539,8.8,0.3,0.22,36.0,312.0,0.4,3.96,0.5,5.1
1540,8.6,0.26,0.24,28.0,321.0,0.3,3.76,0.6,5.14
1541,9.0,0.88,0.16,35.0,314.0,0.32,3.86,0.48,5.18
1542,9.1,0.3,0.2,30.0,347.0,0.28,3.84,0.46,5.14
1543,8.8,0.63,0.16,24.0,307.0,0.26,3.44,0.44,5.44
1544,8.8,0.79,0.24,38.0,339.0,0.28,3.42,0.76,5.18
1545,9.1,0.39,0.22,35.0,311.0,0.36,3.46,0.78,4.98
1546,9.1,0.14,0.24,36.0,401.0,0.34,3.64,0.64,4.1
1547,8.5,0.7,0.2,28.0,318.0,0.38,3.76,0.6,4.18
1548,9.0,0.3,0.16,35.0,329.0,0.4,3.94,0.54,4.44
1549,8.5,0.64,0.18,49.0,314.0,0.36,3.68,0.52,4.76
1550,8.5,0.67,0.18,42.0,347.0,0.34,3.46,0.54,4.88
1551,8.6,0.82,0.16,36.0,360.0,0.38,3.74,0.5,4.8
1552,8.6,0.51,0.14,31.0,343.0,0.26,3.64,0.48,4.82
